academicYear,primaryCategory,secondaryCategory,value,dimension,semester
2023-24,Sophomores,Full-Time,6,Ethnicity,Fall
2023-24,Sophomores,Part-Time,0,Ethnicity,Fall
2022-23,Sophomores,Full-Time,5,Ethnicity,Fall
2022-23,Sophomores,Part-Time,0,Ethnicity,Fall
2021-22,Sophomores,Full-Time,6,Ethnicity,Fall
2021-22,Sophomores,Part-Time,0,Ethnicity,Fall
2020-21,Sophomores,Full-Time,3,Ethnicity,Fall
2020-21,Sophomores,Part-Time,0,Ethnicity,Fall
2019-20,Sophomores,Full-Time,5,Ethnicity,Fall
2019-20,Sophomores,Part-Time,0,Ethnicity,Fall
2018-19,Sophomores,Full-Time,9,Ethnicity,Fall
2018-19,Sophomores,Part-Time,0,Ethnicity,Fall
2017-18,Sophomores,Full-Time,11,Ethnicity,Fall
2017-18,Sophomores,Part-Time,0,Ethnicity,Fall
2016-17,Sophomores,Full-Time,9,Ethnicity,Fall
2016-17,Sophomores,Part-Time,0,Ethnicity,Fall
2015-16,Sophomores,Full-Time,12,Ethnicity,Fall
2015-16,Sophomores,Part-Time,0,Ethnicity,Fall
2014-15,Sophomores,Full-Time,6,Ethnicity,Fall
2014-15,Sophomores,Part-Time,0,Ethnicity,Fall
2013-14,Sophomores,Full-Time,3,Ethnicity,Fall
2013-14,Sophomores,Part-Time,0,Ethnicity,Fall
2012-13,Sophomores,Full-Time,3,Ethnicity,Fall
2012-13,Sophomores,Part-Time,0,Ethnicity,Fall
2011-12,Sophomores,Full-Time,7,Ethnicity,Fall
2011-12,Sophomores,Part-Time,0,Ethnicity,Fall
2010-11,Sophomores,Full-Time,8,Ethnicity,Fall
2010-11,Sophomores,Part-Time,0,Ethnicity,Fall
2009-10,Sophomores,Full-Time,12,Ethnicity,Fall
2009-10,Sophomores,Part-Time,0,Ethnicity,Fall
2008-09,Sophomores,Full-Time,10,Ethnicity,Fall
2008-09,Sophomores,Part-Time,0,Ethnicity,Fall
2007-08,Sophomores,Full-Time,14,Ethnicity,Fall
2007-08,Sophomores,Part-Time,0,Ethnicity,Fall
2006-07,Sophomores,Full-Time,10,Ethnicity,Fall
2006-07,Sophomores,Part-Time,1,Ethnicity,Fall
2005-06,Sophomores,Full-Time,7,Ethnicity,Fall
2005-06,Sophomores,Part-Time,0,Ethnicity,Fall
2004-05,Sophomores,Full-Time,12,Ethnicity,Fall
2004-05,Sophomores,Part-Time,0,Ethnicity,Fall
2003-04,Sophomores,Full-Time,6,Ethnicity,Fall
2003-04,Sophomores,Part-Time,0,Ethnicity,Fall
2002-03,Sophomores,Full-Time,7,Ethnicity,Fall
2024-25,Juniors,Full-Time,5,Ethnicity,Fall
2024-25,Juniors,Part-Time,0,Ethnicity,Fall
2023-24,Juniors,Full-Time,4,Ethnicity,Fall
2023-24,Juniors,Part-Time,0,Ethnicity,Fall
2022-23,Juniors,Full-Time,6,Ethnicity,Fall
2022-23,Juniors,Part-Time,0,Ethnicity,Fall
2021-22,Juniors,Full-Time,4,Ethnicity,Fall
2021-22,Juniors,Part-Time,0,Ethnicity,Fall
2020-21,Juniors,Full-Time,6,Ethnicity,Fall
2020-21,Juniors,Part-Time,0,Ethnicity,Fall
2019-20,Juniors,Full-Time,8,Ethnicity,Fall
2019-20,Juniors,Part-Time,0,Ethnicity,Fall
2018-19,Juniors,Full-Time,7,Ethnicity,Fall
2018-19,Juniors,Part-Time,0,Ethnicity,Fall
2017-18,Juniors,Full-Time,10,Ethnicity,Fall
2017-18,Juniors,Part-Time,0,Ethnicity,Fall
2016-17,Juniors,Full-Time,9,Ethnicity,Fall
2016-17,Juniors,Part-Time,0,Ethnicity,Fall
2015-16,Juniors,Full-Time,4,Ethnicity,Fall
2015-16,Juniors,Part-Time,0,Ethnicity,Fall
2014-15,Juniors,Full-Time,2,Ethnicity,Fall
2014-15,Juniors,Part-Time,0,Ethnicity,Fall
2013-14,Juniors,Full-Time,1,Ethnicity,Fall
2013-14,Juniors,Part-Time,0,Ethnicity,Fall
2012-13,Juniors,Full-Time,7,Ethnicity,Fall
2012-13,Juniors,Part-Time,0,Ethnicity,Fall
2011-12,Juniors,Full-Time,7,Ethnicity,Fall
2011-12,Juniors,Part-Time,0,Ethnicity,Fall
2010-11,Juniors,Full-Time,8,Ethnicity,Fall
2010-11,Juniors,Part-Time,0,Ethnicity,Fall
2009-10,Juniors,Full-Time,12,Ethnicity,Fall
2009-10,Juniors,Part-Time,0,Ethnicity,Fall
2008-09,Juniors,Full-Time,13,Ethnicity,Fall
2008-09,Juniors,Part-Time,0,Ethnicity,Fall
2007-08,Juniors,Full-Time,9,Ethnicity,Fall
2007-08,Juniors,Part-Time,0,Ethnicity,Fall
2006-07,Juniors,Full-Time,7,Ethnicity,Fall
2006-07,Juniors,Part-Time,0,Ethnicity,Fall
2005-06,Juniors,Full-Time,11,Ethnicity,Fall
2005-06,Juniors,Part-Time,0,Ethnicity,Fall
2004-05,Juniors,Full-Time,7,Ethnicity,Fall
2004-05,Juniors,Part-Time,0,Ethnicity,Fall
2003-04,Juniors,Full-Time,8,Ethnicity,Fall
2003-04,Juniors,Part-Time,0,Ethnicity,Fall
2002-03,Juniors,Full-Time,9,Ethnicity,Fall
2024-25,Seniors,Full-Time,4,Ethnicity,Fall
2024-25,Seniors,Part-Time,0,Ethnicity,Fall
2023-24,Seniors,Full-Time,6,Ethnicity,Fall
2023-24,Seniors,Part-Time,0,Ethnicity,Fall
2022-23,Seniors,Full-Time,3,Ethnicity,Fall
2022-23,Seniors,Part-Time,0,Ethnicity,Fall
2021-22,Seniors,Full-Time,7,Ethnicity,Fall
2021-22,Seniors,Part-Time,0,Ethnicity,Fall
2020-21,Seniors,Full-Time,9,Ethnicity,Fall
2020-21,Seniors,Part-Time,0,Ethnicity,Fall
2019-20,Seniors,Full-Time,10,Ethnicity,Fall
2019-20,Seniors,Part-Time,0,Ethnicity,Fall
2018-19,Seniors,Full-Time,9,Ethnicity,Fall
2018-19,Seniors,Part-Time,1,Ethnicity,Fall
2017-18,Seniors,Full-Time,11,Ethnicity,Fall
2017-18,Seniors,Part-Time,0,Ethnicity,Fall
2016-17,Seniors,Full-Time,7,Ethnicity,Fall
2016-17,Seniors,Part-Time,1,Ethnicity,Fall
2015-16,Seniors,Full-Time,3,Ethnicity,Fall
2015-16,Seniors,Part-Time,0,Ethnicity,Fall
2014-15,Seniors,Full-Time,2,Ethnicity,Fall
2014-15,Seniors,Part-Time,0,Ethnicity,Fall
2013-14,Seniors,Full-Time,7,Ethnicity,Fall
2013-14,Seniors,Part-Time,0,Ethnicity,Fall
2012-13,Seniors,Full-Time,6,Ethnicity,Fall
2012-13,Seniors,Part-Time,0,Ethnicity,Fall
2011-12,Seniors,Full-Time,10,Ethnicity,Fall
2011-12,Seniors,Part-Time,0,Ethnicity,Fall
2010-11,Seniors,Full-Time,8,Ethnicity,Fall
2010-11,Seniors,Part-Time,0,Ethnicity,Fall
2009-10,Seniors,Full-Time,13,Ethnicity,Fall
2009-10,Seniors,Part-Time,0,Ethnicity,Fall
2008-09,Seniors,Full-Time,9,Ethnicity,Fall
2008-09,Seniors,Part-Time,0,Ethnicity,Fall
2007-08,Seniors,Full-Time,7,Ethnicity,Fall
2007-08,Seniors,Part-Time,0,Ethnicity,Fall
2006-07,Seniors,Full-Time,11,Ethnicity,Fall
2006-07,Seniors,Part-Time,0,Ethnicity,Fall
2005-06,Seniors,Full-Time,6,Ethnicity,Fall
2005-06,Seniors,Part-Time,0,Ethnicity,Fall
2004-05,Seniors,Full-Time,5,Ethnicity,Fall
2004-05,Seniors,Part-Time,0,Ethnicity,Fall
2003-04,Seniors,Full-Time,7,Ethnicity,Fall
2003-04,Seniors,Part-Time,0,Ethnicity,Fall
2002-03,Seniors,Full-Time,4,Ethnicity,Fall
2024-25,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2024-25,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2023-24,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2023-24,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2022-23,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2022-23,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2021-22,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2021-22,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2020-21,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2020-21,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2019-20,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2019-20,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2018-19,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2018-19,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2017-18,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2017-18,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2016-17,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2016-17,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2015-16,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2015-16,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2014-15,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2014-15,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2013-14,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2013-14,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2012-13,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2012-13,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2011-12,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2011-12,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2010-11,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2010-11,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2009-10,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2009-10,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2008-09,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2008-09,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2007-08,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2007-08,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2006-07,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2006-07,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2005-06,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2005-06,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2004-05,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2004-05,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2003-04,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2003-04,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2002-03,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2024-25,First-Year Students,Full-Time,65,Ethnicity,Fall
2024-25,First-Year Students,Part-Time,0,Ethnicity,Fall
2023-24,First-Year Students,Full-Time,80,Ethnicity,Fall
2023-24,First-Year Students,Part-Time,0,Ethnicity,Fall
2022-23,First-Year Students,Full-Time,92,Ethnicity,Fall
2022-23,First-Year Students,Part-Time,0,Ethnicity,Fall
2021-22,First-Year Students,Full-Time,110,Ethnicity,Fall
2021-22,First-Year Students,Part-Time,0,Ethnicity,Fall
2020-21,First-Year Students,Full-Time,115,Ethnicity,Fall
2020-21,First-Year Students,Part-Time,0,Ethnicity,Fall
2019-20,First-Year Students,Full-Time,75,Ethnicity,Fall
2019-20,First-Year Students,Part-Time,0,Ethnicity,Fall
2018-19,First-Year Students,Full-Time,100,Ethnicity,Fall
2018-19,First-Year Students,Part-Time,0,Ethnicity,Fall
2017-18,First-Year Students,Full-Time,106,Ethnicity,Fall
2017-18,First-Year Students,Part-Time,0,Ethnicity,Fall
2016-17,First-Year Students,Full-Time,72,Ethnicity,Fall
2016-17,First-Year Students,Part-Time,0,Ethnicity,Fall
2015-16,First-Year Students,Full-Time,55,Ethnicity,Fall
2015-16,First-Year Students,Part-Time,0,Ethnicity,Fall
2014-15,First-Year Students,Full-Time,19,Ethnicity,Fall
2014-15,First-Year Students,Part-Time,0,Ethnicity,Fall
2013-14,First-Year Students,Full-Time,13,Ethnicity,Fall
2013-14,First-Year Students,Part-Time,0,Ethnicity,Fall
2012-13,First-Year Students,Full-Time,18,Ethnicity,Fall
2012-13,First-Year Students,Part-Time,0,Ethnicity,Fall
2011-12,First-Year Students,Full-Time,19,Ethnicity,Fall
2011-12,First-Year Students,Part-Time,0,Ethnicity,Fall
2010-11,First-Year Students,Full-Time,15,Ethnicity,Fall
2010-11,First-Year Students,Part-Time,0,Ethnicity,Fall
2009-10,First-Year Students,Full-Time,29,Ethnicity,Fall
2009-10,First-Year Students,Part-Time,0,Ethnicity,Fall
2008-09,First-Year Students,Full-Time,12,Ethnicity,Fall
2008-09,First-Year Students,Part-Time,0,Ethnicity,Fall
2007-08,First-Year Students,Full-Time,14,Ethnicity,Fall
2007-08,First-Year Students,Part-Time,1,Ethnicity,Fall
2006-07,First-Year Students,Full-Time,15,Ethnicity,Fall
2006-07,First-Year Students,Part-Time,0,Ethnicity,Fall
2005-06,First-Year Students,Full-Time,21,Ethnicity,Fall
2005-06,First-Year Students,Part-Time,0,Ethnicity,Fall
2004-05,First-Year Students,Full-Time,37,Ethnicity,Fall
2004-05,First-Year Students,Part-Time,0,Ethnicity,Fall
2003-04,First-Year Students,Full-Time,15,Ethnicity,Fall
2003-04,First-Year Students,Part-Time,0,Ethnicity,Fall
2002-03,First-Year Students,Full-Time,10,Ethnicity,Fall
2024-25,Sophomores,Full-Time,53,Ethnicity,Fall
2024-25,Sophomores,Part-Time,0,Ethnicity,Fall
2023-24,Sophomores,Full-Time,52,Ethnicity,Fall
2023-24,Sophomores,Part-Time,0,Ethnicity,Fall
2022-23,Sophomores,Full-Time,55,Ethnicity,Fall
2022-23,Sophomores,Part-Time,0,Ethnicity,Fall
2021-22,Sophomores,Full-Time,68,Ethnicity,Fall
2021-22,Sophomores,Part-Time,1,Ethnicity,Fall
2020-21,Sophomores,Full-Time,55,Ethnicity,Fall
2020-21,Sophomores,Part-Time,0,Ethnicity,Fall
2019-20,Sophomores,Full-Time,72,Ethnicity,Fall
2019-20,Sophomores,Part-Time,1,Ethnicity,Fall
2018-19,Sophomores,Full-Time,67,Ethnicity,Fall
2018-19,Sophomores,Part-Time,0,Ethnicity,Fall
2017-18,Sophomores,Full-Time,52,Ethnicity,Fall
2017-18,Sophomores,Part-Time,0,Ethnicity,Fall
2016-17,Sophomores,Full-Time,43,Ethnicity,Fall
2016-17,Sophomores,Part-Time,0,Ethnicity,Fall
2015-16,Sophomores,Full-Time,11,Ethnicity,Fall
2015-16,Sophomores,Part-Time,0,Ethnicity,Fall
2014-15,Sophomores,Full-Time,8,Ethnicity,Fall
2014-15,Sophomores,Part-Time,0,Ethnicity,Fall
2013-14,Sophomores,Full-Time,16,Ethnicity,Fall
2013-14,Sophomores,Part-Time,1,Ethnicity,Fall
2012-13,Sophomores,Full-Time,11,Ethnicity,Fall
2012-13,Sophomores,Part-Time,0,Ethnicity,Fall
2011-12,Sophomores,Full-Time,11,Ethnicity,Fall
2011-12,Sophomores,Part-Time,0,Ethnicity,Fall
2010-11,Sophomores,Full-Time,18,Ethnicity,Fall
2010-11,Sophomores,Part-Time,0,Ethnicity,Fall
2009-10,Sophomores,Full-Time,14,Ethnicity,Fall
2009-10,Sophomores,Part-Time,0,Ethnicity,Fall
2008-09,Sophomores,Full-Time,10,Ethnicity,Fall
2008-09,Sophomores,Part-Time,0,Ethnicity,Fall
2007-08,Sophomores,Full-Time,16,Ethnicity,Fall
2007-08,Sophomores,Part-Time,0,Ethnicity,Fall
2006-07,Sophomores,Full-Time,20,Ethnicity,Fall
2006-07,Sophomores,Part-Time,0,Ethnicity,Fall
2005-06,Sophomores,Full-Time,31,Ethnicity,Fall
2005-06,Sophomores,Part-Time,0,Ethnicity,Fall
2004-05,Sophomores,Full-Time,10,Ethnicity,Fall
2004-05,Sophomores,Part-Time,0,Ethnicity,Fall
2003-04,Sophomores,Full-Time,9,Ethnicity,Fall
2003-04,Sophomores,Part-Time,1,Ethnicity,Fall
2002-03,Sophomores,Full-Time,6,Ethnicity,Fall
2024-25,Juniors,Full-Time,39,Ethnicity,Fall
2024-25,Juniors,Part-Time,1,Ethnicity,Fall
2023-24,Juniors,Full-Time,41,Ethnicity,Fall
2023-24,Juniors,Part-Time,0,Ethnicity,Fall
2022-23,Juniors,Full-Time,60,Ethnicity,Fall
2022-23,Juniors,Part-Time,0,Ethnicity,Fall
2021-22,Juniors,Full-Time,38,Ethnicity,Fall
2021-22,Juniors,Part-Time,0,Ethnicity,Fall
2020-21,Juniors,Full-Time,45,Ethnicity,Fall
2020-21,Juniors,Part-Time,0,Ethnicity,Fall
2019-20,Juniors,Full-Time,48,Ethnicity,Fall
2019-20,Juniors,Part-Time,0,Ethnicity,Fall
2018-19,Juniors,Full-Time,37,Ethnicity,Fall
2018-19,Juniors,Part-Time,0,Ethnicity,Fall
2017-18,Juniors,Full-Time,33,Ethnicity,Fall
2017-18,Juniors,Part-Time,0,Ethnicity,Fall
2016-17,Juniors,Full-Time,11,Ethnicity,Fall
2016-17,Juniors,Part-Time,0,Ethnicity,Fall
2015-16,Juniors,Full-Time,6,Ethnicity,Fall
2015-16,Juniors,Part-Time,0,Ethnicity,Fall
2014-15,Juniors,Full-Time,13,Ethnicity,Fall
2014-15,Juniors,Part-Time,0,Ethnicity,Fall
2013-14,Juniors,Full-Time,5,Ethnicity,Fall
2013-14,Juniors,Part-Time,1,Ethnicity,Fall
2012-13,Juniors,Full-Time,9,Ethnicity,Fall
2012-13,Juniors,Part-Time,0,Ethnicity,Fall
2011-12,Juniors,Full-Time,17,Ethnicity,Fall
2011-12,Juniors,Part-Time,0,Ethnicity,Fall
2010-11,Juniors,Full-Time,10,Ethnicity,Fall
2010-11,Juniors,Part-Time,0,Ethnicity,Fall
2009-10,Juniors,Full-Time,6,Ethnicity,Fall
2009-10,Juniors,Part-Time,0,Ethnicity,Fall
2008-09,Juniors,Full-Time,11,Ethnicity,Fall
2008-09,Juniors,Part-Time,0,Ethnicity,Fall
2007-08,Juniors,Full-Time,13,Ethnicity,Fall
2007-08,Juniors,Part-Time,0,Ethnicity,Fall
2006-07,Juniors,Full-Time,21,Ethnicity,Fall
2006-07,Juniors,Part-Time,0,Ethnicity,Fall
2005-06,Juniors,Full-Time,7,Ethnicity,Fall
2005-06,Juniors,Part-Time,0,Ethnicity,Fall
2004-05,Juniors,Full-Time,7,Ethnicity,Fall
2004-05,Juniors,Part-Time,0,Ethnicity,Fall
2003-04,Juniors,Full-Time,7,Ethnicity,Fall
2003-04,Juniors,Part-Time,0,Ethnicity,Fall
2002-03,Juniors,Full-Time,10,Ethnicity,Fall
2024-25,Seniors,Full-Time,43,Ethnicity,Fall
2024-25,Seniors,Part-Time,1,Ethnicity,Fall
2023-24,Seniors,Full-Time,56,Ethnicity,Fall
2023-24,Seniors,Part-Time,0,Ethnicity,Fall
2022-23,Seniors,Full-Time,32,Ethnicity,Fall
2022-23,Seniors,Part-Time,0,Ethnicity,Fall
2021-22,Seniors,Full-Time,48,Ethnicity,Fall
2021-22,Seniors,Part-Time,0,Ethnicity,Fall
2020-21,Seniors,Full-Time,50,Ethnicity,Fall
2020-21,Seniors,Part-Time,0,Ethnicity,Fall
2019-20,Seniors,Full-Time,37,Ethnicity,Fall
2019-20,Seniors,Part-Time,0,Ethnicity,Fall
2018-19,Seniors,Full-Time,24,Ethnicity,Fall
2018-19,Seniors,Part-Time,0,Ethnicity,Fall
2017-18,Seniors,Full-Time,8,Ethnicity,Fall
2017-18,Seniors,Part-Time,0,Ethnicity,Fall
2016-17,Seniors,Full-Time,3,Ethnicity,Fall
2016-17,Seniors,Part-Time,0,Ethnicity,Fall
2015-16,Seniors,Full-Time,9,Ethnicity,Fall
2015-16,Seniors,Part-Time,0,Ethnicity,Fall
2014-15,Seniors,Full-Time,7,Ethnicity,Fall
2014-15,Seniors,Part-Time,0,Ethnicity,Fall
2013-14,Seniors,Full-Time,8,Ethnicity,Fall
2013-14,Seniors,Part-Time,0,Ethnicity,Fall
2012-13,Seniors,Full-Time,11,Ethnicity,Fall
2012-13,Seniors,Part-Time,0,Ethnicity,Fall
2011-12,Seniors,Full-Time,9,Ethnicity,Fall
2011-12,Seniors,Part-Time,0,Ethnicity,Fall
2010-11,Seniors,Full-Time,2,Ethnicity,Fall
2010-11,Seniors,Part-Time,0,Ethnicity,Fall
2009-10,Seniors,Full-Time,10,Ethnicity,Fall
2009-10,Seniors,Part-Time,0,Ethnicity,Fall
2008-09,Seniors,Full-Time,15,Ethnicity,Fall
2008-09,Seniors,Part-Time,0,Ethnicity,Fall
2007-08,Seniors,Full-Time,22,Ethnicity,Fall
2007-08,Seniors,Part-Time,0,Ethnicity,Fall
2006-07,Seniors,Full-Time,7,Ethnicity,Fall
2006-07,Seniors,Part-Time,0,Ethnicity,Fall
2005-06,Seniors,Full-Time,12,Ethnicity,Fall
2005-06,Seniors,Part-Time,0,Ethnicity,Fall
2004-05,Seniors,Full-Time,7,Ethnicity,Fall
2004-05,Seniors,Part-Time,0,Ethnicity,Fall
2003-04,Seniors,Full-Time,9,Ethnicity,Fall
2003-04,Seniors,Part-Time,0,Ethnicity,Fall
2002-03,Seniors,Full-Time,6,Ethnicity,Fall
2024-25,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2024-25,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2023-24,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2023-24,Non-Degree Students,Part-Time,1,Ethnicity,Fall
2022-23,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2022-23,Non-Degree Students,Part-Time,1,Ethnicity,Fall
2021-22,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2021-22,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2020-21,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2020-21,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2019-20,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2019-20,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2018-19,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2018-19,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2017-18,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2017-18,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2016-17,Non-Degree Students,Full-Time,1,Ethnicity,Fall
2016-17,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2015-16,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2015-16,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2014-15,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2014-15,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2013-14,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2013-14,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2012-13,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2012-13,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2011-12,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2011-12,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2010-11,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2010-11,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2009-10,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2009-10,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2008-09,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2008-09,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2007-08,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2007-08,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2006-07,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2006-07,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2005-06,Non-Degree Students,Full-Time,1,Ethnicity,Fall
2005-06,Non-Degree Students,Part-Time,0,Ethnicity,Fall
2004-05,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2004-05,Non-Degree Students,Part-Time,1,Ethnicity,Fall
2003-04,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2003-04,Non-Degree Students,Part-Time,1,Ethnicity,Fall
2002-03,Non-Degree Students,Full-Time,0,Ethnicity,Fall
2024-25,First-Year Students,Full-Time,49,Ethnicity,Fall
2024-25,First-Year Students,Part-Time,0,Ethnicity,Fall
2023-24,First-Year Students,Full-Time,64,Ethnicity,Fall
2023-24,First-Year Students,Part-Time,0,Ethnicity,Fall
2022-23,First-Year Students,Full-Time,49,Ethnicity,Fall
2022-23,First-Year Students,Part-Time,0,Ethnicity,Fall
2021-22,First-Year Students,Full-Time,46,Ethnicity,Fall
2021-22,First-Year Students,Part-Time,0,Ethnicity,Fall
2020-21,First-Year Students,Full-Time,79,Ethnicity,Fall
2020-21,First-Year Students,Part-Time,0,Ethnicity,Fall
2019-20,First-Year Students,Full-Time,74,Ethnicity,Fall
2019-20,First-Year Students,Part-Time,0,Ethnicity,Fall
2018-19,First-Year Students,Full-Time,56,Ethnicity,Fall
2018-19,First-Year Students,Part-Time,0,Ethnicity,Fall
2017-18,First-Year Students,Full-Time,74,Ethnicity,Fall
2017-18,First-Year Students,Part-Time,0,Ethnicity,Fall
2016-17,First-Year Students,Full-Time,50,Ethnicity,Fall
2016-17,First-Year Students,Part-Time,0,Ethnicity,Fall
2015-16,First-Year Students,Full-Time,29,Ethnicity,Fall
2015-16,First-Year Students,Part-Time,0,Ethnicity,Fall
2014-15,First-Year Students,Full-Time,10,Ethnicity,Fall
2014-15,First-Year Students,Part-Time,0,Ethnicity,Fall
2013-14,First-Year Students,Full-Time,16,Ethnicity,Fall
2013-14,First-Year Students,Part-Time,0,Ethnicity,Fall
2012-13,First-Year Students,Full-Time,16,Ethnicity,Fall
2012-13,First-Year Students,Part-Time,0,Ethnicity,Fall
2011-12,First-Year Students,Full-Time,12,Ethnicity,Fall
2011-12,First-Year Students,Part-Time,0,Ethnicity,Fall
2010-11,First-Year Students,Full-Time,12,Ethnicity,Fall
2010-11,First-Year Students,Part-Time,0,Ethnicity,Fall
2009-10,First-Year Students,Full-Time,10,Ethnicity,Fall
2009-10,First-Year Students,Part-Time,0,Ethnicity,Fall
2008-09,First-Year Students,Full-Time,8,Ethnicity,Fall
2008-09,First-Year Students,Part-Time,0,Ethnicity,Fall
2007-08,First-Year Students,Full-Time,2,Ethnicity,Fall
2007-08,First-Year Students,Part-Time,0,Ethnicity,Fall
2006-07,First-Year Students,Full-Time,5,Ethnicity,Fall
2006-07,First-Year Students,Part-Time,0,Ethnicity,Fall
2005-06,First-Year Students,Full-Time,3,Ethnicity,Fall
2005-06,First-Year Students,Part-Time,0,Ethnicity,Fall
2004-05,First-Year Students,Full-Time,7,Ethnicity,Fall
2004-05,First-Year Students,Part-Time,0,Ethnicity,Fall
2003-04,First-Year Students,Full-Time,6,Ethnicity,Fall
2003-04,First-Year Students,Part-Time,0,Ethnicity,Fall
2002-03,First-Year Students,Full-Time,4,Ethnicity,Fall
2024-25,Sophomores,Full-Time,48,Ethnicity,Fall
2024-25,Sophomores,Part-Time,0,Ethnicity,Fall
2023-24,Sophomores,Full-Time,32,Ethnicity,Fall
2023-24,Sophomores,Part-Time,0,Ethnicity,Fall
2022-23,Sophomores,Full-Time,39,Ethnicity,Fall
2022-23,Sophomores,Part-Time,0,Ethnicity,Fall
2021-22,Sophomores,Full-Time,58,Ethnicity,Fall
2021-22,Sophomores,Part-Time,0,Ethnicity,Fall
2020-21,Sophomores,Full-Time,55,Ethnicity,Fall
2020-21,Sophomores,Part-Time,0,Ethnicity,Fall
2019-20,Sophomores,Full-Time,43,Ethnicity,Fall
